wave	flux	eflux
3.10421640e+03	8.32785200e-15	8.32785200e-16
3.10482735e+03	9.40585900e-14	9.40585900e-15
3.10543830e+03	1.13306400e-13	1.13306400e-14
3.10604925e+03	9.29860600e-14	9.29860600e-15
3.10666020e+03	8.75399400e-14	8.75399400e-15
3.10727115e+03	7.92474200e-14	7.92474200e-15
3.10788210e+03	7.11807200e-14	7.11807200e-15
3.10849305e+03	7.06425500e-14	7.06425500e-15
3.10910400e+03	7.23522200e-14	7.23522200e-15
3.10971495e+03	6.95896200e-14	6.95896200e-15
3.11032591e+03	6.33013900e-14	6.33013900e-15
3.11093686e+03	6.81321000e-14	6.81321000e-15
3.11154781e+03	7.20496700e-14	7.20496700e-15
3.11215876e+03	6.86124300e-14	6.86124300e-15
3.11276971e+03	4.91838600e-14	4.91838600e-15
3.11338066e+03	5.47795700e-14	5.47795700e-15
3.11399161e+03	5.74720000e-14	5.74720000e-15
3.11460256e+03	5.61045900e-14	5.61045900e-15
3.11521351e+03	4.96397500e-14	4.96397500e-15
3.11582446e+03	5.48138600e-14	5.48138600e-15
3.11643541e+03	6.61311000e-14	6.61311000e-15
3.11704636e+03	6.22562800e-14	6.22562800e-15
3.11765732e+03	6.39447300e-14	6.39447300e-15
3.11826827e+03	6.52554800e-14	6.52554800e-15
3.11887922e+03	6.36790700e-14	6.36790700e-15
3.11949017e+03	6.11733800e-14	6.11733800e-15
3.12010112e+03	6.52170800e-14	6.52170800e-15
3.12071207e+03	6.79459500e-14	6.79459500e-15
3.12132302e+03	6.21982100e-14	6.21982100e-15
3.12193397e+03	7.56720800e-14	7.56720800e-15
3.12254492e+03	7.92142000e-14	7.92142000e-15
3.12315587e+03	6.85464100e-14	6.85464100e-15
3.12376682e+03	6.63931100e-14	6.63931100e-15
3.12437777e+03	5.57148600e-14	5.57148600e-15
3.12498873e+03	5.13423900e-14	5.13423900e-15
3.12559968e+03	6.46817300e-14	6.46817300e-15
3.12621063e+03	7.27385800e-14	7.27385800e-15
3.12682158e+03	6.52516700e-14	6.52516700e-15
3.12743253e+03	5.91906800e-14	5.91906800e-15
3.12804348e+03	6.93393900e-14	6.93393900e-15
3.12865443e+03	6.81644900e-14	6.81644900e-15
3.12926538e+03	6.99087700e-14	6.99087700e-15
3.12987633e+03	6.58658800e-14	6.58658800e-15
3.13048728e+03	6.80620200e-14	6.80620200e-15
3.13109823e+03	7.06702900e-14	7.06702900e-15
3.13170918e+03	6.60051700e-14	6.60051700e-15
3.13232013e+03	7.18326500e-14	7.18326500e-15
3.13293109e+03	5.75826600e-14	5.75826600e-15
3.13354204e+03	5.51781900e-14	5.51781900e-15
3.13415299e+03	6.93513300e-14	6.93513300e-15
3.13476394e+03	6.25727400e-14	6.25727400e-15
3.13537489e+03	6.14446000e-14	6.14446000e-15
3.13598584e+03	6.89338100e-14	6.89338100e-15
3.13659679e+03	6.64597400e-14	6.64597400e-15
3.13720774e+03	6.04308300e-14	6.04308300e-15
3.13781869e+03	6.46704800e-14	6.46704800e-15
3.13842964e+03	6.52902300e-14	6.52902300e-15
3.13904059e+03	6.36102800e-14	6.36102800e-15
3.13965154e+03	6.48807900e-14	6.48807900e-15
3.14026250e+03	6.44676600e-14	6.44676600e-15
3.14087345e+03	5.47906200e-14	5.47906200e-15
3.14148440e+03	5.53190800e-14	5.53190800e-15
3.14209535e+03	5.78009800e-14	5.78009800e-15
3.14270630e+03	6.04302000e-14	6.04302000e-15
3.14331725e+03	6.47638400e-14	6.47638400e-15
3.14392820e+03	5.94672000e-14	5.94672000e-15
3.14453915e+03	5.29690900e-14	5.29690900e-15
3.14515010e+03	6.18146900e-14	6.18146900e-15
3.14576105e+03	6.66978700e-14	6.66978700e-15
3.14637200e+03	6.02836600e-14	6.02836600e-15
3.14698295e+03	5.88042300e-14	5.88042300e-15
3.14759391e+03	5.82151100e-14	5.82151100e-15
3.14820486e+03	6.15257600e-14	6.15257600e-15
3.14881581e+03	6.32558500e-14	6.32558500e-15
3.14942676e+03	5.67925000e-14	5.67925000e-15
3.15003771e+03	5.70571100e-14	5.70571100e-15
3.15064866e+03	6.27143600e-14	6.27143600e-15
3.15125961e+03	6.53283500e-14	6.53283500e-15
3.15187056e+03	6.26435500e-14	6.26435500e-15
3.15248151e+03	5.51821400e-14	5.51821400e-15
3.15309246e+03	6.01357600e-14	6.01357600e-15
3.15370341e+03	6.30043200e-14	6.30043200e-15
3.15431436e+03	5.88551100e-14	5.88551100e-15
3.15492532e+03	6.29701600e-14	6.29701600e-15
3.15553627e+03	6.29181600e-14	6.29181600e-15
3.15614722e+03	6.57281400e-14	6.57281400e-15
3.15675817e+03	5.73949300e-14	5.73949300e-15
3.15736912e+03	5.81671000e-14	5.81671000e-15
3.15798007e+03	5.32166600e-14	5.32166600e-15
3.15859102e+03	5.48067500e-14	5.48067500e-15
3.15920197e+03	5.55815100e-14	5.55815100e-15
3.15981292e+03	5.88735900e-14	5.88735900e-15
3.16042387e+03	6.20141800e-14	6.20141800e-15
3.16103482e+03	6.24571100e-14	6.24571100e-15
3.16164577e+03	5.26180600e-14	5.26180600e-15
3.16225672e+03	5.37216500e-14	5.37216500e-15
3.16286768e+03	5.80287300e-14	5.80287300e-15
3.16347863e+03	6.00184100e-14	6.00184100e-15
