wave	flux	eflux
3.25096045e+03	2.63054100e-15	2.63054100e-16
3.25156140e+03	2.27267100e-15	2.27267100e-16
3.25216234e+03	2.69752000e-15	2.69752000e-16
3.25276329e+03	1.53070400e-15	1.53070400e-16
3.25336424e+03	2.59654800e-15	2.59654800e-16
3.25396518e+03	9.25436400e-16	9.25436400e-17
3.25456613e+03	1.49178600e-15	1.49178600e-16
3.25516708e+03	2.30914800e-15	2.30914800e-16
3.25576803e+03	4.07076000e-15	4.07076000e-16
3.25636897e+03	3.51307800e-15	3.51307800e-16
3.25696992e+03	3.02863600e-15	3.02863600e-16
3.25757087e+03	1.99700400e-15	1.99700400e-16
3.25817181e+03	1.64277200e-15	1.64277200e-16
3.25877276e+03	2.07847800e-15	2.07847800e-16
3.25937371e+03	1.26113600e-15	1.26113600e-16
3.25997466e+03	9.46169500e-16	9.46169500e-17
3.26057560e+03	4.31227900e-16	4.31227900e-17
3.26117655e+03	2.32336700e-15	2.32336700e-16
3.26177750e+03	3.68873300e-15	3.68873300e-16
3.26237844e+03	3.35311500e-15	3.35311500e-16
3.26297939e+03	1.94786700e-15	1.94786700e-16
3.26358034e+03	1.07407600e-15	1.07407600e-16
3.26418129e+03	1.44070700e-15	1.44070700e-16
3.26478223e+03	2.17812700e-15	2.17812700e-16
3.26538318e+03	2.29179700e-15	2.29179700e-16
3.26598413e+03	1.72797200e-15	1.72797200e-16
3.26658507e+03	2.47431500e-15	2.47431500e-16
3.26718602e+03	2.39809700e-15	2.39809700e-16
3.26778697e+03	1.42699600e-15	1.42699600e-16
3.26838791e+03	2.71912100e-15	2.71912100e-16
3.26898886e+03	1.12624900e-15	1.12624900e-16
3.26958981e+03	7.99486600e-16	7.99486600e-17
3.27019076e+03	7.20882900e-16	7.20882900e-17
3.27079170e+03	1.26206900e-15	1.26206900e-16
3.27139265e+03	1.85591700e-15	1.85591700e-16
3.27199360e+03	3.58949500e-15	3.58949500e-16
3.27259454e+03	2.82044800e-15	2.82044800e-16
